sort v2024,species_code,Clements v2024b change,text for website v2024b,category,English name,scientific name,range,order,family,extinct,extinct year,sort_v2023,de_name,es_name,ukrainian_name,ar_name
113,bratin1,,,species,Brazilian Tinamou,Crypturellus strigulosus,"tropical southern Amazonian Brazil, adjacent eastern Peru and northwestern Bolivia",Tinamiformes,Tinamidae (Tinamous),,,94,Brasiltinamu,Tinamú brasileño,Бразильський тинаму,التينامو البرازيلي
114,gyltin1,,,species,Gray-legged Tinamou,Crypturellus duidae,tropical forest of east-central Colombia to southern Venezuela,Tinamiformes,Tinamidae (Tinamous),,,95,Graufuß-Tinamou,Tinamú de patas grises,Тинаму сіроногий,تينامو ذو الأرجل الرمادية
115,reltin1,,,species,Red-legged Tinamou,Crypturellus erythropus,,Tinamiformes,Tinamidae (Tinamous),,,96,Rotbeiniges Tinamou,Tinamú de patas rojas,Тинаму червоногомий,تينامو ذو الساقين الحمراء
116,reltin2,,,subspecies,Ruddy Quail-Dove,Crypturellus erythropus columbianus,tropical north-central Colombia,Tinamiformes,Tinamidae (Tinamous),,,97,Kolumbianischer Rothühnchen,Pava de monte colombiana,Колумбійський криптуреллус,كريبتوريلاس إيريثروبس الكولومبي
117,reltin3,,,subspecies,Rufous-vented Ground Cuckoo,Crypturellus erythropus saltuarius,northeastern Colombia (Sierra de Ocaña),Tinamiformes,Tinamidae (Tinamous),,,98,Rötelwildhuhn,Pava de monte de patas rojas,Куріпка червонопала,دراج أحمر الساقين
118,reltin4,,,subspecies,Ruddy Quail-Dove,Crypturellus erythropus idoneus,northeastern Colombia and adjacent northwestern Venezuela,Tinamiformes,Tinamidae (Tinamous),,,99,Rötelralle,Rascón de pico rojo,Курочка червонодзьоба,دراج أحمر المنقار
119,reltin5,,,subspecies,Ruddy-breasted Crake,Crypturellus erythropus cursitans,northern Colombia east of the Andes and northwestern Venezuela,Tinamiformes,Tinamidae (Tinamous),,,100,Rötelralle,Rascón de pico curvo,Курочка червоногруда,دراج أحمر الصدر
120,reltin6,,,subspecies,Ruddy Quail-Dove,Crypturellus erythropus spencei,northern Venezuela,Tinamiformes,Tinamidae (Tinamous),,,101,Rötelsteißhuhn,Pava de monte de Spence,Спенсова рябчик,دراج سبنس
121,reltin7,,,subspecies,Ruddy Quail-Dove,Crypturellus erythropus margaritae,Isla Margarita (off Venezuela),Tinamiformes,Tinamidae (Tinamous),,,102,Rötelralle,Rascón de pico curvo,Курочка ряба,دجاجة الأرض ذات الأرجل الحمراء مارغريتا
122,reltin8,,,subspecies,Rufous-breasted Wood Quail,Crypturellus erythropus erythropus,"eastern Venezuela to Guyana, Suriname and northeastern Brazil",Tinamiformes,Tinamidae (Tinamous),,,103,Rötelralle,Rascón de pico curvo,Курочка червоногруда,دجاجة الماء الحمراء
123,yeltin1,,,species,Yellow-legged Tinamou,Crypturellus noctivagus,,Tinamiformes,Tinamidae (Tinamous),,,104,Gelbbeiniges Tinamou,Tinamú de patas amarillas,Жовтоногий тинаму,تينامو ذو الأرجل الصفراء
124,yeltin2,,,group (monotypic),Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele,lowlands of northeastern Brazil (Piauí to Bahia and Minas Gerais),Tinamiformes,Tinamidae (Tinamous),,,105,Nachtwaldhuhn,Pava de monte,Нічна курка,دجاجة الليل
125,yeltin3,,,group (monotypic),Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus,coastal southeastern Brazil (Minas Gerais to Rio Grande do Sul),Tinamiformes,Tinamidae (Tinamous),,,106,Nachtschleichhuhn,Pava de monte,Нічний куріпка,دراج ليلي
126,blctin1,,,species,Black-capped Tinamou,Crypturellus atrocapillus,,Tinamiformes,Tinamidae (Tinamous),,,107,Schwarzhaubentinamou,Tinamú de copete negro,Тинаму чорноволий,تينامو ذو القمة السوداء
127,bkctin1,,,subspecies,Black-capped Tinamou,Crypturellus atrocapillus atrocapillus,lowlands of southeastern Peru (central Ucayali southward to Puno) and southwestern Brazil (Acre),Tinamiformes,Tinamidae (Tinamous),,,108,Schwarzhaubenkreuzschnabel,Pava de monte de cabeza negra,Капуцин чорноголовий,دراج أسود الرأس
128,bkctin2,,,subspecies,Black-capped Tinamou,Crypturellus atrocapillus garleppi,lowlands of northern Bolivia,Tinamiformes,Tinamidae (Tinamous),,,109,Schwarzhaubenkreuzschnabel,Pava de cabeza negra,Капуцин чорноголовий,دراج ذو الرأس الأسود
129,slbtin1,,,species,Slaty-breasted Tinamou,Crypturellus boucardi,,Tinamiformes,Tinamidae (Tinamous),,,110,Schieferbrust-Tinamou,Tinamú de Boucard,Тинаму букарда,تينامو بوكاردي
130,slbtin2,,,subspecies,Buff-breasted Woodcreeper,Crypturellus boucardi boucardi,Caribbean lowlands of southeastern Mexico to northwestern Honduras,Tinamiformes,Tinamidae (Tinamous),,,111,Boucard-Waldhuhn,Pava de Boucard,Бука́рдова куріпка,دراج بوكاردي
131,slbtin3,,,subspecies,Buff-breasted Ground-Dove,Crypturellus boucardi costaricensis,Caribbean slope of Honduras to northern Costa Rica,Tinamiformes,Tinamidae (Tinamous),,,112,Costa-Rica-Glockenkranich,Pava de Boucard,Костариканський глухар,دراج كوستاريكا
132,chotin1,,,species,Choco Tinamou,Crypturellus kerriae,humid foothills of far southeastern Panama and northwestern Colombia,Tinamiformes,Tinamidae (Tinamous),,,113,Chocotinamou,Tinamú Chocó,Чоко Тинамоу,تينامو تشوكو
133,vartin1,,,species,Variegated Tinamou,Crypturellus variegatus,"Colombia to Venezuela, the Guianas, northern Bolivia, and Amazonian Brazil",Tinamiformes,Tinamidae (Tinamous),,,114,Bunt-Tinamou,Tinamú variado,Різнобарвний тинаму,تينامو متنوع
134,thitin1,,,species,Thicket Tinamou,Crypturellus cinnamomeus,,Tinamiformes,Tinamidae (Tinamous),,,115,Zimt-Tinamou,Tinamú canela,Канельний тинаму,تينامو القرفة
135,thitin2,,,group (monotypic),Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis,coastal western Mexico (Sinaloa to Guerrero),Tinamiformes,Tinamidae (Tinamous),,,116,Zimt-Kurznasenralle,Rascón canela,Коротконосий рябчик,دراج قرفة
136,thitin3,,,group (polytypic),Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group],,Tinamiformes,Tinamidae (Tinamous),,,117,Zimt-Tinamou,Tinamú canela,Тинаму коричневий,تينامو القرفة
137,thitin4,,,subspecies,Cinnamon Teal,Crypturellus cinnamomeus soconuscensis,Pacific slope of southern Mexico (Oaxaca and Chiapas),Tinamiformes,Tinamidae (Tinamous),,,118,Zimt-Kurznasenralle,Rascón canela,Рябчик коричневий,دراج قرفة
138,thitin5,,,subspecies,Cinnamon Teal,Crypturellus cinnamomeus mexicanus,Caribbean slope of Mexico (Tamaulipas to Puebla),Tinamiformes,Tinamidae (Tinamous),,,119,Zimt-Kurznasen-Kranich,Pava de monte mexicana,Мексиканський куріпка,دراج مكسيكي
139,thitin6,,,subspecies,Cinnamon Teal,Crypturellus cinnamomeus sallaei,"southern Mexico (Puebla to southern Veracruz, Oaxaca, and Chiapas)",Tinamiformes,Tinamidae (Tinamous),,,120,Zimt-Kurznasenralle,Rascón canela,Коротконосий рябчик,دراج القرفة
140,thitin7,,,subspecies,Cinnamon Teal,Crypturellus cinnamomeus goldmani,southeastern Mexico (Yucatán Peninsula) to northern Guatemala and northern Belize,Tinamiformes,Tinamidae (Tinamous),,,121,Zimt-Krypturellus,Pava de monte canela,Криптуреллус коричневий,دراج القرفة
141,thitin8,,,subspecies,Cinnamon Teal,Crypturellus cinnamomeus vicinior,highlands of southern Mexico (Chiapas) to Guatemala and central Honduras,Tinamiformes,Tinamidae (Tinamous),,,122,Zimt-Kurznasenralle,Rascón canela,Рябчик коричневий,دراج قرفة
142,thitin9,,,subspecies,Cinnamon Teal,Crypturellus cinnamomeus cinnamomeus,coastal southeastern Mexico (Chiapas) to El Salvador and Honduras,Tinamiformes,Tinamidae (Tinamous),,,123,Zimt-Krypturellus,Pava de monte canela,Криптуреллус коричневий,دراج القرفة
143,thitin10,,,subspecies,Cinnamon Teal,Crypturellus cinnamomeus delattrii,Pacific lowlands of Nicaragua,Tinamiformes,Tinamidae (Tinamous),,,124,Zimt-Kurznasenralle,Rascón canela,Коротконога ряба,دراج القرفة
144,thitin11,,,subspecies,Cinnamon Teal,Crypturellus cinnamomeus praepes,lowlands of northwestern Costa Rica,Tinamiformes,Tinamidae (Tinamous),,,125,Zimt-Kurznasenralle,Rascón canela,Коротконога ряба,كريبتوريلوس قرفة
145,rustin1,,,species,Rusty Tinamou,Crypturellus brevirostris,disjunctly in humid forest of northwestern Brazil and probably adjacent far eastern Colombia; and the Guianas and northeastern Amazonian Brazil (Amapá),Tinamiformes,Tinamidae (Tinamous),,,126,Rost-Tinamou,Tinamú de pico corto,Короткоклюва тинаму,تينامو قصير المنقار
146,bartin2,,,species,Bartlett's Tinamou,Crypturellus bartletti,"tropical western Amazonian Brazil, eastern Peru, and northern Bolivia",Tinamiformes,Tinamidae (Tinamous),,,127,Bartlett-Tinamou,Tinamú de Bartlett,Тинаму Бартлетта,تينامو بارتليت
147,smbtin1,,,species,Small-billed Tinamou,Crypturellus parvirostris,patchily distributed in Amazon basin southward to northeastern Argentina,Tinamiformes,Tinamidae (Tinamous),,,128,Kleinröhrentaucher,Tinamú de pico pequeño,Тинаму малоклювий,تينامو صغير المنقار
148,bartin1,,,species,Barred Tinamou,Crypturellus casiquiare,far eastern Colombia and adjacent southern Venezuela,Tinamiformes,Tinamidae (Tinamous),,,129,Bänder-Tinamou,Tinamú rayado,Тинаму смугастий,تينامو مخطط
149,tattin1,,,species,Tataupa Tinamou,Crypturellus tataupa,,Tinamiformes,Tinamidae (Tinamous),,,130,Tataupa-Tinamou,Tinamú Tataupa,Тинаму Татаупа,تينامو تاتاوبا
150,tattin2,,,subspecies,Tataupa Tinamou,Crypturellus tataupa inops,Marañón Valley of northwestern Peru,Tinamiformes,Tinamidae (Tinamous),,,131,Tataupa-Tinamu,Tinamú tataupa,Тинаму татаупа,تينامو تاتاوبا
151,tattin3,,,subspecies,Tataupa Tinamou,Crypturellus tataupa peruvianus,west-central Peru (Chanchamayo Valley of Junín),Tinamiformes,Tinamidae (Tinamous),,,132,Peruanischer Tüpfelstrauß,Tatuapo peruano,Перуанський криптуреллус,كريبتوريلاس بيروفي
152,tattin4,,,subspecies,Tataupa Tinamou,Crypturellus tataupa lepidotus,"northeastern Brazil (Maranhão, Ceará, Piauí, Pernambuco and Bahia)",Tinamiformes,Tinamidae (Tinamous),,,133,Tataupa-Tinamu,Tinamú tataupa,Тинаму та-таупа,طائر التينامو
153,tattin5,,,subspecies,Tataupa Tinamou,Crypturellus tataupa tataupa,"eastern Bolivia to Paraguay, southern Brazil, and northern Argentina",Tinamiformes,Tinamidae (Tinamous),,,134,Tataupa-Tinamu,Tinamú tataupa,Тинаму татаупа,تينامو تاتاوبا
155,rewtin1,,,species,Red-winged Tinamou,Rhynchotus rufescens,,Tinamiformes,Tinamidae (Tinamous),,,136,Rotflügel-Tinamou,Tinamú de alas rojas,Тинаму червонокрилий,تينامو ذو الأجنحة الحمراء
156,rewtin2,,,subspecies,Red-winged Tinamou,Rhynchotus rufescens catingae,central and northeastern Brazil,Tinamiformes,Tinamidae (Tinamous),,,137,Rotschulter-Rhynchotus,Rascón de pico curvo,Ринкотус рудуватий,راكون ريفي
157,rewtin3,,,subspecies,Red-winged Tinamou,Rhynchotus rufescens rufescens,"southeastern Peru to Bolivia, eastern Paraguay, southeastern Brazil, and northeastern Argentina",Tinamiformes,Tinamidae (Tinamous),,,138,Rotschopf-Kurzkopf,Rascón de pico curvo,Рудий ринхот,الطائر ذو المنقار المعقوف
158,rewtin4,,,subspecies,Red-winged Tinamou,Rhynchotus rufescens pallescens,northern Argentina (eastern Formosa to Río Negro),Tinamiformes,Tinamidae (Tinamous),,,139,Rotschulter-Rhynchotus,Rascón de pico recto,Ринкотус рудуватий,رنكوتوس أحمر الظهر
159,huatin1,,,species,Huayco Tinamou,Rhynchotus maculicollis,Andes of northwestern Bolivia to northwestern Argentina,Tinamiformes,Tinamidae (Tinamous),,,140,Huayco-Tinamou,Tinamú huayco,Тинаму хуайко,تينامو هوياكو
160,tactin1,,,species,Taczanowski's Tinamou,Nothoprocta taczanowskii,Andes of south-central Peru (Junín to Puno),Tinamiformes,Tinamidae (Tinamous),,,141,Taczanowskis Tinamou,Tinamú de Taczanowski,Тинаму Такжанського,تينامو تاكزانوسكي
161,orntin1,,,species,Ornate Tinamou,Nothoprocta ornata,,Tinamiformes,Tinamidae (Tinamous),,,142,Schmucktinamou,Tinamú ornamentado,Оздоблений тинаму,تينامو مزخرف
162,orntin2,,,subspecies,Ornate Tinamou,Nothoprocta ornata branickii,puna of central Peru (Ancash to Apurímac),Tinamiformes,Tinamidae (Tinamous),,,143,Schwarzbrust-Perlhuhn,Codorniz de pecho negro,Перепілка чорноплеча,السُّمان ذو الصدر الأسود
163,orntin3,,,subspecies,Ornate Tinamou,Nothoprocta ornata ornata,Andes of southeastern Peru to Bolivia and far northern Chile,Tinamiformes,Tinamidae (Tinamous),,,144,Schwarzbrust-Perlhuhn,Codorniz de pecho negro,Перепілка чорногруда,السُّمان ذو الصدر الأسود
164,orntin4,,,subspecies,Ornate Tinamou,Nothoprocta ornata rostrata,Andes of northwestern Argentina (Jujuy and La Rioja),Tinamiformes,Tinamidae (Tinamous),,,145,Schwarzschwanz-Nothoprocta,Nothoprocta de cola negra,Нотопрокта строката,نوتروكتا مزخرفة
165,chitin1,,,species,Chilean Tinamou,Nothoprocta perdicaria,,Tinamiformes,Tinamidae (Tinamous),,,146,Chilenischer Tinamou,Tinamú chileno,Чилійський тинаму,تينامو تشيلي
166,chitin2,,,subspecies,Chilean Quail,Nothoprocta perdicaria perdicaria,semiarid grassland of north-central Chile (Atacama to Ñuble),Tinamiformes,Tinamidae (Tinamous),,,147,Perlhuhn,Codorniz de pico corto,Перепілка коротконосна,السُّمان
167,chitin3,,,subspecies,Chilean Quail,Nothoprocta perdicaria sanborni,south-central Chile (Maule to Llanquihue),Tinamiformes,Tinamidae (Tinamous),,,148,Südamerikanischer Wachtel,Codorniz de Sanborn,Перепілка Санборна,سمان سانبورن
168,brutin1,,,species,Brushland Tinamou,Nothoprocta cinerascens,,Tinamiformes,Tinamidae (Tinamous),,,149,Graufuß-Tinamou,Tinamú ceniciento,Тинаму сірий,تينامو رمادي
169,brutin2,,,subspecies,Tawny-throated Dotterel,Nothoprocta cinerascens cinerascens,southeastern Bolivia to northwestern Paraguay and central Argentina,Tinamiformes,Tinamidae (Tinamous),,,150,Graufuß-Nothoprocta,Nothoprocta cenicienta,Нотопрокта сіроголова,نوتروكتا رمادية القدم
170,brutin3,,,subspecies,Tawny-throated Dotterel,Nothoprocta cinerascens parvimaculata,arid northwestern Argentina (eastern La Rioja),Tinamiformes,Tinamidae (Tinamous),,,151,Grauflügelige Nothoprocta,Nothoprocta cenicienta,Нотопректа сіроголова,نوتروكتا رمادية الأجنحة
171,andtin1,,,species,Andean Tinamou,Nothoprocta pentlandii,,Tinamiformes,Tinamidae (Tinamous),,,152,Anden-Tinamou,Tinamú andino,Андійський тинамоу,تينامو الأنديز
172,andtin2,,,subspecies,Tawny-throated Dotterel,Nothoprocta pentlandii ambigua,Andes of southern Ecuador and northwestern Peru,Tinamiformes,Tinamidae (Tinamous),,,153,Anden-Sandgans,Pato de los Andes,Патагонський нирок,بطة الأنديز
173,andtin3,,,subspecies,Tawny-throated Dotterel,Nothoprocta pentlandii oustaleti,west slope of Andes of central and southern Peru,Tinamiformes,Tinamidae (Tinamous),,,154,Pampa-Nothura,Nothura de Pentland,Нотопрокта Пентленда,نوتروكتا بينتلي
174,andtin4,,,subspecies,Tawny-throated Dotterel,Nothoprocta pentlandii niethammeri,coastal central Peru,Tinamiformes,Tinamidae (Tinamous),,,155,Pentland-Nothoprocta,Nothoprocta de Pentland,Нотопрокта Пентленда,نوتروكتا بينتلي
175,andtin5,,,subspecies,Tawny-throated Dotterel,Nothoprocta pentlandii fulvescens,Andes of southeastern Peru,Tinamiformes,Tinamidae (Tinamous),,,156,Pampa-Kiebitz,Tero de Pantano,Нотопрокта Пентленда,نوتروكتا بينتلاندي
176,andtin6,,,subspecies,Tawny-throated Dotterel,Nothoprocta pentlandii pentlandii,"Andes of western Bolivia, far northern Chile (Arica; no recent records), and northwestern Argentina (southward to La Rioja and Santiago del Estero, except for western Salta)",Tinamiformes,Tinamidae (Tinamous),,,157,Pentland-Kiebitz,Tero de Pentland,Пентлендський норок,نورس بنتلاند
